,title,subtitle,sub_subtitle,location,company,salary,type,description,date_publish,url_postulacion
0,Desarrollador Movil de Software,"GPTX
Remoto in Ciudad de México","$12,411 a $20,000 por mes
Por tiempo indeterminado
+1
Horario flexible
+1
Más detalles sobre el empleo
Trabajo desde casa",Ciudad de México,GPTX,"$12,411 a $20,000 por mes",Remoto,"2 años de experiencia laboral con JavaScript y Python, experiencia con frameworks React, Django y Flask, Experiencia participando en un flujo completo de desarrollo de software.
Servicios: REST y Web APIs, experiencia utilizando GIT - GCP y Azure - Ciclos DevOps - Conocimientos en POO
Carrera terminada en Ingeniería de Software, Ingeniería en Sistemas y Computación, Ciencias de la computación o carrera afín, Nivel de inglés básico - intermedio; capacidad de adaptación a cambios significados en tecnología o entorno; capacidad de resolución de problemas complejos.
Responsabilidades -
Escribir código limpio, de alta calidad y fácil de entender con lenguajes de programación JavaScript y Python
Entender, proponer y desarrollar especificaciones técnicas en determinadas soluciones propuestas para los clientes.
Crear flujos CI/CD para despliegue de aplicaciones en Cloud.
Revisar y mejorar el código de las aplicaciones ya existentes. - Documentar el desarrollo y procedimientos realizados.
Participar en reuniones con los clientes para entender sus requerimientos.
Tipo de puesto: Tiempo completo
Salario: $8,000.00 - $12,000.00 al mes
Horario:
Turno de 8 horas
Fecha de inicio prevista: 09/12/2022",2022-12-07,https://mx.indeed.com/viewjob?jk=e575d41889188e2c&q=javascript&l=Ciudad+de+M%C3%A9xico&tk=1gjn1fdvrghor801&from=web&advn=8107553022434002&adid=397589789&ad=-6NYlbfkN0DzxOSOPLz4xWiegYH34x0irIB7Q3_0txTIeOcOOigPNFqYBu4aZKP8F2JW9oo9PyifTa8AiqAKaYcAubt-QvZ5ye3MmeJJD_KdzekqRy-UgQUW4puB74YB9xmF4shie52XRqN64jOHmjLB2d8VumPOoHIdA-940g-tAi3QKk6hSN-Tuh7KYkWrnhlT4teujtttsVpl4LPopc9OuArMq_Enilw5BMizi54-Pl-6PniODzxgWdXNIgPKq3FPqmgy6XtrKvNrSTXFHj48mjLR_hus112s4nQvaXMKgRMALqx1By9zs9cUryAAEORrfn3T8FhtNleaqfW2CZOyeB8ZqQgo2VWN8Y0dqzrHcQ5grY-aqTxzmtVn8_qbE6OuByQp2RU%3D&pub=4a1b367933fd867b19b072952f68dceb&xkcb=SoCn-_M3W3KyGYSsKB0IbzkdCdPP&vjs=3
1,DESARROLLADORES JavaScript Jr.,"STRAGIA
Colonia del Valle, CDMX","$12,000 a $15,000 por mes
Tiempo completo
Turno de 8 horas
+1
Más detalles sobre el empleo
Presencial",Ciudad de México,STRAGIA,"$12,000 a $15,000 por mes",Remoto,"2 años de experiencia laboral con JavaScript y Python, experiencia con frameworks React, Django y Flask, Experiencia participando en un flujo completo de desarrollo de software.
Servicios: REST y Web APIs, experiencia utilizando GIT - GCP y Azure - Ciclos DevOps - Conocimientos en POO
Carrera terminada en Ingeniería de Software, Ingeniería en Sistemas y Computación, Ciencias de la computación o carrera afín, Nivel de inglés básico - intermedio; capacidad de adaptación a cambios significados en tecnología o entorno; capacidad de resolución de problemas complejos.
Responsabilidades -
Escribir código limpio, de alta calidad y fácil de entender con lenguajes de programación JavaScript y Python
Entender, proponer y desarrollar especificaciones técnicas en determinadas soluciones propuestas para los clientes.
Crear flujos CI/CD para despliegue de aplicaciones en Cloud.
Revisar y mejorar el código de las aplicaciones ya existentes. - Documentar el desarrollo y procedimientos realizados.
Participar en reuniones con los clientes para entender sus requerimientos.
Tipo de puesto: Tiempo completo
Salario: $8,000.00 - $12,000.00 al mes
Horario:
Turno de 8 horas
Fecha de inicio prevista: 09/12/2022",2022-12-07,https://mx.indeed.com/ver-empleo?cmp=STRAGIA&t=Desarrolladores+javascript+junior&jk=81508283693b01ff&q=javascript&vjs=3
2,Desarrollador,"Imperium360 SA de CV
Remoto in Ciudad de México","$8,000 a $20,000 por mes
Por tiempo indeterminado
+1
Horario flexible
Más detalles sobre el empleo
Trabajo desde casa",Ciudad de México,Imperium360 SA de CV,"$8,000 a $20,000 por mes",Remoto,"2 años de experiencia laboral con JavaScript y Python, experiencia con frameworks React, Django y Flask, Experiencia participando en un flujo completo de desarrollo de software.
Servicios: REST y Web APIs, experiencia utilizando GIT - GCP y Azure - Ciclos DevOps - Conocimientos en POO
Carrera terminada en Ingeniería de Software, Ingeniería en Sistemas y Computación, Ciencias de la computación o carrera afín, Nivel de inglés básico - intermedio; capacidad de adaptación a cambios significados en tecnología o entorno; capacidad de resolución de problemas complejos.
Responsabilidades -
Escribir código limpio, de alta calidad y fácil de entender con lenguajes de programación JavaScript y Python
Entender, proponer y desarrollar especificaciones técnicas en determinadas soluciones propuestas para los clientes.
Crear flujos CI/CD para despliegue de aplicaciones en Cloud.
Revisar y mejorar el código de las aplicaciones ya existentes. - Documentar el desarrollo y procedimientos realizados.
Participar en reuniones con los clientes para entender sus requerimientos.
Tipo de puesto: Tiempo completo
Salario: $8,000.00 - $12,000.00 al mes
Horario:
Turno de 8 horas
Fecha de inicio prevista: 09/12/2022",2022-12-07,https://mx.indeed.com/ver-empleo?cmp=Imperium360-SA-de-CV&t=Desarrollador&jk=7fb167d97e29ef22&q=javascript&vjs=3
3,Desarrollador Junior,"Novalié Business Consulting
Remoto in Benito Juárez, CDMX","$12,000 a $15,000 por mes
Tiempo completo
Más detalles sobre el empleo
Trabajo desde casa",Ciudad de México,Novalié Business Consulting,"$12,000 a $15,000 por mes",Remoto,"Esta vacante viene de la bolsa de empleo Talenteca.com
Vacante para la empresa Novalié Business Consulting en Benito Juárez, Ciudad de México
Si tu objetivos es poner en práctica tus conocimiento y generar mayor experiencia profecional, está oportunidad es para ti.
Empresa líder en el sector solicita recién egresado para laborar como Desarrollador BackEnd Jr.

Requisitos:

Experiencia: Mínima de 6 meses a 1 año en desarrollo de software con java.
Escolaridad: Estudiante (modalidad en línea con disponibilidad de horario), Pasante o Titulado de carrera de Sistemas Computacionales o afín.
Idioma: inglés leído y escrito, mínimo nivel intermedio.

Lenguajes y requerimientos del puesto:

Realizar programación en Java (indispensable)
Uso de Spring y/o Springboot
Conocimiento sobre elaboración de microservicios
Manejo de Dependencias en Maven
Manejo de repositorios tipo GIT

Deseables

Primefaces
Python o NodeJs
Conocimiento en HTML y javascript
Programación en AWS

Funciones:
Desarrollo en java para mejoras en la interfaz interna de la compañía y mantenimiento a códigos actuales.
Desarrollo de los cambios solicitados en la plataforma para cliente interno.

Ofrecemos:
Esquema: Trabajo a distancia o Home Office.
Herramientas: Equipo de cómputo
Sueldo: $12,000 a $15,000 libres mensuales + Prestaciones de Ley
Horario: lunes a jueves de 08:30am a 5:30pm y viernes de 08:30am a 04:30pm.
Contratación por medio de consultora con contratos anuales.


Nivel de educación deseada:
Superior - titulado
Nivel de experiencia deseada:
Nivel Inicial
Función departamental:
Tecnología / Internet
Industria:
Desarrollo de Software / Programación
Habilidades:
programación java
spring/ springboot
desarrollo backend



Esta vacante viene de la bolsa de empleo Talenteca.com:
https://www.talenteca.com/mexico/empleo/benito-juarez/tecnologia-internet/desarrollador-jr-/638e80d829000050002ba44et2?source=indeed",2022-12-07,https://mx.indeed.com/viewjob?jk=eee2ee863a18791f&tk=1gjn1fdvrghor801&from=serp&vjs=3
4,Backend Python,"PEOPLEMX
Ciudad de México","$53,000 a $63,000 por mes
Tiempo completo
Turno de 10 horas",Ciudad de México,PEOPLEMX,"$53,000 a $63,000 por mes",Remoto,"Desarrollador backend python
MISIÓN
Analizar, diseñar, construir, probar e implementar sistemas de información a través de los lineamientos indicados en la arquitectura del proyecto para garantizar la calidad del producto.
FUNCIONES
✓ Programador de proyectos de software
✓ Diseñar modelos de proceso
✓ Diseñar modelos relacionales de bases de datos
✓ Codificar los requerimientos funcionales y no funcionales de la solución
✓ Realizar pruebas unitarias y de integración de software
✓ Supervisar y refactorizar código
✓ Colaborar e implementar sistemas de información en operación
✓ Mantener y corregir sistemas de información en operación
CONOCIMIENTOS
✓ Tecnologías Web (HTML 5, CSS3, JavaScript)
✓ JQUERY, AJAX, JSON
✓ Bootstrap
✓ Python
✓ Base de Datos Aurora DB y SQL Server o PostgreSQL
✓ Entity Framework
✓ TFS o Git
✓ SCRUM
✓ Experiencia en desarrollo sobre AWS
CERTIFICACIONES DESEABLES
✓ MCSD – Microsoft Certified Solutions Developer
✓ MCTS – Microsoft Certified Technology Specialist
✓ SCRUM Developer
✓ SCRUM Master
Inglés intermedio COMPROBABLE
Modalidad: 100% Home Office
Sueldo: $53,000 - $63,000 netos + PL
Tipo de puesto: Tiempo completo
Salario: $53,000.00 - $63,000.00 al mes
Horario:
Turno de 10 horas",2022-12-07,https://mx.indeed.com/ver-empleo?cmp=Peoplemx&t=Backend+python&jk=c532c1bcad904a65&q=javascript&vjs=3
5,Estudiante Recién Egresado para Capacitarse como Programador,"TI Developer SAS
Remoto in Ciudad de México","$12,000 a $18,000 por mes
Tiempo completo
Turno matutino
+1
Más detalles sobre el empleo
Trabajo desde casa",Ciudad de México,TI Developer SAS,"$12,000 a $18,000 por mes",Remoto,"Desarrollador backend python
MISIÓN
Analizar, diseñar, construir, probar e implementar sistemas de información a través de los lineamientos indicados en la arquitectura del proyecto para garantizar la calidad del producto.
FUNCIONES
✓ Programador de proyectos de software
✓ Diseñar modelos de proceso
✓ Diseñar modelos relacionales de bases de datos
✓ Codificar los requerimientos funcionales y no funcionales de la solución
✓ Realizar pruebas unitarias y de integración de software
✓ Supervisar y refactorizar código
✓ Colaborar e implementar sistemas de información en operación
✓ Mantener y corregir sistemas de información en operación
CONOCIMIENTOS
✓ Tecnologías Web (HTML 5, CSS3, JavaScript)
✓ JQUERY, AJAX, JSON
✓ Bootstrap
✓ Python
✓ Base de Datos Aurora DB y SQL Server o PostgreSQL
✓ Entity Framework
✓ TFS o Git
✓ SCRUM
✓ Experiencia en desarrollo sobre AWS
CERTIFICACIONES DESEABLES
✓ MCSD – Microsoft Certified Solutions Developer
✓ MCTS – Microsoft Certified Technology Specialist
✓ SCRUM Developer
✓ SCRUM Master
Inglés intermedio COMPROBABLE
Modalidad: 100% Home Office
Sueldo: $53,000 - $63,000 netos + PL
Tipo de puesto: Tiempo completo
Salario: $53,000.00 - $63,000.00 al mes
Horario:
Turno de 10 horas",2022-12-07,https://mx.indeed.com/ver-empleo?cmp=TI-Developer-SAS&t=Estudiante+reci%C3%A9n+egresado+capacitarse+como+programador&jk=3df431d035b7e445&q=javascript&vjs=3
6,Desarrollador Back End,"Light Agency
Remoto in 01030, Colonia Florida, CDMX","$15,000 a $28,000 por mes
Por tiempo indeterminado
+1
Turno de 8 horas
Más detalles sobre el empleo
Trabajo desde casa",Ciudad de México,Light Agency,"$15,000 a $28,000 por mes",Remoto,"Desarrollador backend python
MISIÓN
Analizar, diseñar, construir, probar e implementar sistemas de información a través de los lineamientos indicados en la arquitectura del proyecto para garantizar la calidad del producto.
FUNCIONES
✓ Programador de proyectos de software
✓ Diseñar modelos de proceso
✓ Diseñar modelos relacionales de bases de datos
✓ Codificar los requerimientos funcionales y no funcionales de la solución
✓ Realizar pruebas unitarias y de integración de software
✓ Supervisar y refactorizar código
✓ Colaborar e implementar sistemas de información en operación
✓ Mantener y corregir sistemas de información en operación
CONOCIMIENTOS
✓ Tecnologías Web (HTML 5, CSS3, JavaScript)
✓ JQUERY, AJAX, JSON
✓ Bootstrap
✓ Python
✓ Base de Datos Aurora DB y SQL Server o PostgreSQL
✓ Entity Framework
✓ TFS o Git
✓ SCRUM
✓ Experiencia en desarrollo sobre AWS
CERTIFICACIONES DESEABLES
✓ MCSD – Microsoft Certified Solutions Developer
✓ MCTS – Microsoft Certified Technology Specialist
✓ SCRUM Developer
✓ SCRUM Master
Inglés intermedio COMPROBABLE
Modalidad: 100% Home Office
Sueldo: $53,000 - $63,000 netos + PL
Tipo de puesto: Tiempo completo
Salario: $53,000.00 - $63,000.00 al mes
Horario:
Turno de 10 horas",2022-12-07,https://mx.indeed.com/ver-empleo?cmp=Light-Agency&t=Desarrollador+back+end&jk=9cf36be26af7bb83&q=javascript&vjs=3
7,Backend Developer Ruby - Remote Work,"BairesDev
Remoto in Ciudad de México","Más detalles sobre el empleo
Trabajo desde casa",Ciudad de México,BairesDev,"Más detalles sobre el empleo
Trabajo desde casa",Remoto,"Desarrollador backend python
MISIÓN
Analizar, diseñar, construir, probar e implementar sistemas de información a través de los lineamientos indicados en la arquitectura del proyecto para garantizar la calidad del producto.
FUNCIONES
✓ Programador de proyectos de software
✓ Diseñar modelos de proceso
✓ Diseñar modelos relacionales de bases de datos
✓ Codificar los requerimientos funcionales y no funcionales de la solución
✓ Realizar pruebas unitarias y de integración de software
✓ Supervisar y refactorizar código
✓ Colaborar e implementar sistemas de información en operación
✓ Mantener y corregir sistemas de información en operación
CONOCIMIENTOS
✓ Tecnologías Web (HTML 5, CSS3, JavaScript)
✓ JQUERY, AJAX, JSON
✓ Bootstrap
✓ Python
✓ Base de Datos Aurora DB y SQL Server o PostgreSQL
✓ Entity Framework
✓ TFS o Git
✓ SCRUM
✓ Experiencia en desarrollo sobre AWS
CERTIFICACIONES DESEABLES
✓ MCSD – Microsoft Certified Solutions Developer
✓ MCTS – Microsoft Certified Technology Specialist
✓ SCRUM Developer
✓ SCRUM Master
Inglés intermedio COMPROBABLE
Modalidad: 100% Home Office
Sueldo: $53,000 - $63,000 netos + PL
Tipo de puesto: Tiempo completo
Salario: $53,000.00 - $63,000.00 al mes
Horario:
Turno de 10 horas",2022-12-07,https://mx.indeed.com/viewjob?jk=570249213ee4f8b9&tk=1gjn1ikjpi7md803&from=serp&vjs=3&advn=9046743915949466&adid=370551786&ad=-6NYlbfkN0BfEGkshao4EhrCCf7LYqKO8VNtf9vkQrewuI3DmTR_-B79ZmTLfHg33LpYesfpwEDubJ1wYCXURb51Zl1VYF3Oh_FCi997maHM1NVoYHBMtO38gzJT5TjFnoDYNQyo-pkonuAIO_4wCKhODKjz5qCyIpKnl07fL-194YOImFIHRiXiTb7MPusWT-pEc2a6cg0yyko3MYLqr5uS4kKGQZqNiB4qebV9SURGG8owJ5zRgP052mA4oK7GQ_wArdAROfevvKsD7pEeAyjlrBLSjacaOyqbVP0kqiGTvMrwGbaVRJrEuJ9AcCqZ3Q8sigbAh2Xf-T8QVc7HoMKEZ9PQuyR5K-MuXvkyWF9IQ0wHyCrXp1SO4OFbSMn4&sjdu=Nd2WpwsyXDri1xw5BK6SlSr1RB6mfvlwcwEpHCtZngR1wECU8XmoHrO9zFf0VTvzhmB0YHb2LTRQXX8amz8aIrPLVI_5lWnosygw1UeoC2v9eZSJMKP_UxA4yifMnnQW9VrSf297uNCR9sLpejOfHZsD-yUmpu20zZD7pJzpDik
8,Senior Software Developer – Front End,"RMx DEV S de R L de C V
Ciudad de México",Tiempo completo,Ciudad de México,RMx DEV S de R L de C V,Salario sin especificar,Remoto,"KEY RESPONSIBILITIES
CORE RESPONSIBILITIES

Writing clean, modular, high-quality, high-performance, maintainable code

Participate in code reviews

Participate is daily Scrum meetings, Sprint Planning, Estimating stories

Architecting efficient and reusable Front-End systems that drive complex web applications.

Identifying and resolving performance and scalability issues.

Collaborating with Product Designers, Product Managers, and other Engineers to deliver compelling products and experiences to our customers.

Delivering on your commitments to your project team and the business

EMBRACE THE CULTURE

Embrace the company purpose and live the values - behavior and action consistently demonstrate the values

Effectively communicate with others in a positive, constructive and respectful manner

Spend time developing strong working relationships, providing feedback, information and support needed to enable individuals to achieve their best

Actively participate in Health Checks and implement Objectives and Key Results (OKRs) to develop and grow

Drive the quarterly theme and key activities within your function that align back to the overall annual or quarterly objectives of the company

Actively participate in meetings

STRATEGIC RESPONSIBILITIES

Clearly understand each strategic pillar and the target outcomes

Reinforce the Strategy:
Pillar One - Customer Focus - Being the primary supplier to all our customers by providing them with the very best customized service

Pillar Two - People & Leadership - Creating an environment that allows our people to discover their best and live the MORSCO Values

Pillar Three - Continuous Improvement - Developing & implementing best practice, intuitive single systems

MINIMUM QUALIF I CATIONS

Bachelor’s Degree in Computer Science or a related field, or 5 + years Front end development

Excellent communication skills, ability to work well in a team, project management, and technical leadership experience

Experience with responsive web design

Experience in developing rich applications with HTML, CSS, JavaScript, CSS Preprocessing

In-depth knowledge and experience in using CSS3 (Less or SASS) and HTML5 (App Cache, Local storage, Geolocation, SQLite, Device Capabilities access).

Experience developing web services using any of the following: Python, Java, Node.js, Ruby, Go, .NET or Scala

Experience in one or more relevant front-end frameworks (React, Angular, Ember, Vue.js, Thymeleaf , etc.) and test frameworks (Jest, Mocha, Jasmine, Selenium, etc.)

Experience with view layout and rendering technologies (e.g., responsiveness, progressive enhancement, browser/device support)

Thorough understanding of React.js and its core principles

Experience with newer capabilities of React.js, such as React Hooks and the Context API

Experience with G r aphQL

Experience with AWS and/or cloud computing

Agile software development experience

Experience with continuous integration tools ( e.g. Jenkins , Circle CI, etc )

Proficient in a broad range of software design approaches and common UX patterns

Knows when (and when not) to use front-end software design patterns (e.g., a synchronicity, data binding, modules, MVC, objects, promises)

Our commitment to excellence in customer service is only part of our story. We are also dedicated to supporting our most valuable asset, our associates! One of the ways we do this is by offering a variety of high-quality benefits for our associates and their families.

All full-time associates receive the benefits of law and are eligible for the following benefits:

Mayor Medical Insurance for Family
Life insurance
Food Coupons
10 days of vacation
30-day year end bonus
We're an equal opportunity employer and we welcome diversity and inclusion! All applicants will be considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran or disability status.",2022-12-07,https://mx.indeed.com/viewjob?jk=35b86833263bd86c&tk=1gjn1j6rfi3b3800&from=serp&vjs=3&advn=964504400489249&adid=397120011&ad=-6NYlbfkN0DoriGYJv_tqovuhLftZ06CmffKqquEsnQ5DdtWRAszg6yM2s7fU13Ih_Dahfddi0citwG4nqdqFBliTIyAAAGZkHMIZotKIVdN8vYCY7Uv4oDGZ9g55T4MUHs-7klAsnnn_2uoFtp7OgnCzwGWoThfBKNHucJU9AoACUComaJdQzHgcYejsWu7chNAxLJ89EKyARq_5P1eVlizmkqE8PkNchMQCLSqXOTVnwGf6BWMdIV5UbBjgLfTk1_K9FhAGG8rMENpyT6Raul9URuZGQERNju-SO-8PwBKNCyqTYEXnP450RU6SMbixz5TMhBGTZECbTVU66cmWcF-7J2RBd0eD5574iMaoJO4bxnQQ3Ca2bNE69rKKNOmSxlfnFyRcdc=&sjdu=8WQD45rkdalwsNKPJz7Tmj7vXyw2mFHcwM9oUhldbhFApdjYQNvCry6suikr0FxRTY9N7pP58hFtUwuUuAQwAwQtZ_42KMC-IzWIHVTe087sbpyT3_TEOCdW8AoYXZOmKmgDuvhL39LmTVnJy_Kpo8BHSxRoD-0TNFlf-aogRMbK2Gg2eLfQnpodAU_Oj_IJfhDrtOix30-ZryVdlUpdFs1niY4du_8dvX88ZkwK9ec
9,Desarrollador Python,"Figment
Trabajo remoto híbrido in Ciudad de México","$19,500 a $20,000 por mes
Tiempo completo
Turno de 8 horas
+2
Más detalles sobre el empleo
Home office híbrido",Ciudad de México,Figment,"$19,500 a $20,000 por mes",Remoto,"Esta puede ser la oportunidad de tu vida, si eres un muy buen programador/a y te interesa el mundo de la tecnología Financiera. En FIgment tenemos un proyecto especial de Fintech, y necesitamos a alguien que nos ayude a hacer una implementación local modificada de una plataforma ya existente. El puesto es de 2 a 3 meses, pero si las cosas funcionan, es posible que te integremos al proyecto permanentemente. Cuando tengamos éxito con el proyecto, podrás invertir con nuestro sistema de forma limitada.
EXPERIENCIA:
PHP: 2 años o más
Python: 1 año (Deseable)
Dockers: 1 año (Deseable)
REQUISITOS PRINCIPALES:
PHP orientado a objetos
CodeIgniter (DESEABLE)
HTML 5
CSS 3
Javascript
Angular (DESEABLE)
Python orientado a datos
Dockers
Máquinas virtuales
Sistemas Operativos: Linux, Windows
Manejo de consola / terminal linuxLenguaje Lean (DESEABLE)
Plataforma QuantConnect (DESEABLE)
ACTIVIDADES:
- Programación Frontend HTML, CSS y JS
- Programación Backend PHP con CodeIgniter
- Desarrollo de Apps hibridas con IONIC y Angular
- Extracción, lectura y reporteo de datos con Python
- Automatización de procesos con Python
- Implementación, pruebas y liberaciones para soluciones dentro del entorno del análisis de datos.
- Mantenimiento de proyectos internos.
EXPERIENCIA:
PHP: 2 años o más
Python: 1 año (Deseable)
Dockers: 1 año (Deseable)
REQUISITOS PRINCIPALES:
PHP orientado a objetos
CodeIgniter (DESEABLE)
HTML 5
CSS 3
Javascript
Angular (DESEABLE)
Python orientado a datos
Dockers
Máquinas virtuales
Sistemas Operativos: Linux, Windows
Manejo de consola / terminal linuxLenguaje Lean (DESEABLE)
Plataforma QuantConnect (DESEABLE)
ACTIVIDADES:
- Programación Frontend HTML, CSS y JS
- Programación Backend PHP con CodeIgniter
- Desarrollo de Apps hibridas con IONIC y Angular
- Extracción, lectura y reporteo de datos con Python
- Automatización de procesos con Python
- Implementación, pruebas y liberaciones para soluciones dentro del entorno del análisis de datos.
- Mantenimiento de proyectos internos.
Si cumples con los requisitos y estás interesado envíanos tu CV actualizadoal correo: viridiana (arroba) figment (punto) com (punto) mx con atención a Viridiana Cortez, indica tus pretensiones económicas.
Ofrecemos oportunidades de crecimiento y cursos en línea para capacitación continua. ¡Esperamos que te animes y conocerte pronto! ¡Suerte!
Tipo de puesto: Tiempo completo
Salario: $19,500.00 - $20,000.00 al mes
Horario:
Horario flexible
Lunes a viernes
Turno de 8 horas
Prestaciones:
Horarios flexibles
Seguro de gastos médicos mayores
Trabajar desde casa
Vacaciones adicionales o permisos con goce de sueldo
Tipos de compensaciones:
Bono anual
Experiencia:
Python: 2 años (Deseable)
Docker: 2 años (Deseable)
Lugar de trabajo: remoto híbrido en 11510, Ciudad de México, CDMX",2022-12-07,https://mx.indeed.com/ver-empleo?cmp=Figment&t=Desarrollador+python&jk=ae33da798fd6f267&q=javascript&vjs=3
